Label,Contour_0,Contour_1,Contour_2,Contour_3,Contour_4
Parasitized,10167.5,146.0,0.0,0.0,0.0
Uninfected,9492.0,0.0,0.0,0.0,0.0
Uninfected,9072.5,0.0,0.0,0.0,0.0
Parasitized,13485.5,0.0,0.0,0.0,0.0
Uninfected,13466.5,0.0,0.0,0.0,0.0
Uninfected,15992.5,0.0,0.0,0.0,0.0
Parasitized,8889.5,8.5,0.0,0.0,0.0
Uninfected,10637.0,0.0,0.0,0.0,0.0
Parasitized,8996.0,0.0,0.0,0.0,0.0
Parasitized,19550.0,32.5,0.0,0.0,0.0
Parasitized,99.0,9611.5,83.0,0.0,0.0
Parasitized,14779.0,0.0,0.0,0.0,0.0
Uninfected,10623.5,0.0,0.0,0.0,0.0
Parasitized,14448.5,40.0,0.0,0.0,0.0
Parasitized,9516.0,0.0,0.0,0.0,0.0
Uninfected,11896.5,0.0,0.0,0.0,0.0
Parasitized,12576.0,21.5,22.5,0.0,0.0
Parasitized,10000.0,0.0,0.0,0.0,0.0
Parasitized,10325.0,0.0,0.0,0.0,0.0
Uninfected,14209.5,0.0,0.0,0.0,0.0
Parasitized,15210.0,7.0,69.5,0.0,0.0
Uninfected,12442.0,0.0,0.0,0.0,0.0
Uninfected,15328.5,0.0,0.0,0.0,0.0
Uninfected,18206.0,0.0,0.0,0.0,0.0
Uninfected,12568.0,0.0,0.0,0.0,0.0
Parasitized,9898.0,17.5,0.0,0.0,0.0
Uninfected,9848.5,0.0,0.0,0.0,0.0
Uninfected,14473.5,0.0,0.0,0.0,0.0
Uninfected,14390.5,0.0,0.0,0.0,0.0
Uninfected,14713.0,0.0,0.0,0.0,0.0
Uninfected,11587.0,0.0,0.0,0.0,0.0
Parasitized,9132.0,73.0,0.0,0.0,0.0
Parasitized,9690.0,100.0,0.0,0.0,0.0
Uninfected,13834.5,0.0,0.0,0.0,0.0
Uninfected,7945.5,0.0,0.0,0.0,0.0
Uninfected,11946.0,0.0,0.0,0.0,0.0
Uninfected,14401.5,0.0,0.0,0.0,0.0
Uninfected,12353.0,0.0,0.0,0.0,0.0
Parasitized,16860.5,111.0,0.0,0.0,0.0
Uninfected,9735.0,0.0,0.0,0.0,0.0
Parasitized,8923.0,0.0,0.0,0.0,0.0
Uninfected,13689.5,0.0,0.0,0.0,0.0
Parasitized,11968.5,47.0,0.0,0.0,0.0
Parasitized,12300.0,0.0,0.0,0.0,0.0
Uninfected,6962.0,0.0,0.0,0.0,0.0
Uninfected,10386.0,0.0,0.0,0.0,0.0
Parasitized,13131.5,23.5,0.0,0.0,0.0
Parasitized,12419.0,12.5,0.0,0.0,0.0
Uninfected,9751.0,0.0,0.0,0.0,0.0
Parasitized,11666.0,0.0,0.0,0.0,0.0
Uninfected,8666.5,0.0,0.0,0.0,0.0
Parasitized,15003.5,146.0,0.0,0.0,0.0
Uninfected,20099.0,0.0,0.0,0.0,0.0
Uninfected,11089.5,0.0,0.0,0.0,0.0
Parasitized,14572.5,48.5,0.0,0.0,0.0
Uninfected,8960.0,0.0,0.0,0.0,0.0
Parasitized,13247.0,0.0,0.0,0.0,0.0
Parasitized,17143.0,79.0,0.0,0.0,0.0
Parasitized,12088.5,44.0,0.0,0.0,0.0
Parasitized,13038.5,0.0,0.0,0.0,0.0
Uninfected,14675.0,0.0,0.0,0.0,0.0
Uninfected,10682.0,0.0,0.0,0.0,0.0
Parasitized,10779.0,31.0,0.0,0.0,0.0
Parasitized,6222.0,111.5,0.0,0.0,0.0
Parasitized,25214.0,8.5,170.0,0.0,0.0
Parasitized,13052.5,18.0,0.0,0.0,0.0
Parasitized,15157.0,37.5,2.0,0.0,0.0
Parasitized,9641.5,44.5,0.0,0.0,0.0
Parasitized,6715.5,74.5,0.0,0.0,0.0
Parasitized,10069.5,0.0,0.0,0.0,0.0
Parasitized,11860.0,17.0,0.0,0.0,0.0
Parasitized,15106.5,0.0,0.0,0.0,0.0
Uninfected,12124.0,0.0,0.0,0.0,0.0
Uninfected,13984.5,0.0,0.0,0.0,0.0
Parasitized,19956.5,11.0,0.0,0.0,0.0
Uninfected,12867.0,0.0,0.0,0.0,0.0
Uninfected,12217.0,0.0,0.0,0.0,0.0
Parasitized,11732.0,0.0,0.0,0.0,0.0
Uninfected,12366.0,0.0,0.0,0.0,0.0
Uninfected,13676.0,0.0,0.0,0.0,0.0
Uninfected,9461.5,0.0,0.0,0.0,0.0
Parasitized,14825.0,0.0,0.0,0.0,0.0
Parasitized,14877.0,0.0,0.0,0.0,0.0
Parasitized,5251.0,0.0,0.0,0.0,0.0
Parasitized,14055.0,0.0,0.0,0.0,0.0
Uninfected,15324.0,0.0,0.0,0.0,0.0
Uninfected,7613.0,0.0,0.0,0.0,0.0
Parasitized,11097.0,0.0,0.0,0.0,0.0
Parasitized,15169.5,46.0,0.0,0.0,0.0
Parasitized,8924.5,0.0,0.0,0.0,0.0
Uninfected,13005.0,0.0,0.0,0.0,0.0
Parasitized,14057.0,0.0,0.0,0.0,0.0
Parasitized,13045.5,29.0,0.0,0.0,0.0
Uninfected,12892.0,0.0,0.0,0.0,0.0
Uninfected,14092.0,0.0,0.0,0.0,0.0
Parasitized,12061.5,0.0,0.0,0.0,0.0
Uninfected,12892.0,0.0,0.0,0.0,0.0
Parasitized,13786.0,61.5,0.0,0.0,0.0
Uninfected,11072.5,0.0,0.0,0.0,0.0
Uninfected,15738.0,0.0,0.0,0.0,0.0
Uninfected,12310.0,0.0,0.0,0.0,0.0
Uninfected,12145.0,0.0,0.0,0.0,0.0
Uninfected,13881.5,0.0,0.0,0.0,0.0
Uninfected,12527.5,0.0,0.0,0.0,0.0
Parasitized,13258.0,0.0,0.0,0.0,0.0
Uninfected,13434.5,0.0,0.0,0.0,0.0
Uninfected,10635.5,0.0,0.0,0.0,0.0
Uninfected,8025.0,0.0,0.0,0.0,0.0
Uninfected,11525.0,0.0,0.0,0.0,0.0
Uninfected,9644.0,0.0,0.0,0.0,0.0
Uninfected,10412.0,0.0,0.0,0.0,0.0
Parasitized,13540.5,0.0,0.0,0.0,0.0
Uninfected,11419.5,0.0,0.0,0.0,0.0
Uninfected,8898.0,0.0,0.0,0.0,0.0
Uninfected,14370.0,0.0,0.0,0.0,0.0
Parasitized,10426.5,78.5,331.5,0.0,0.0
Parasitized,12012.0,0.0,0.0,0.0,0.0
Parasitized,14455.5,0.0,0.0,0.0,0.0
Uninfected,13626.0,0.0,0.0,0.0,0.0
Uninfected,11025.0,0.0,0.0,0.0,0.0
Uninfected,12538.5,0.0,0.0,0.0,0.0
Uninfected,8810.0,0.0,0.0,0.0,0.0
Uninfected,14471.0,0.0,0.0,0.0,0.0
Uninfected,9986.5,0.0,0.0,0.0,0.0
Parasitized,13026.5,0.0,0.0,0.0,0.0
Parasitized,11347.0,0.0,0.0,0.0,0.0
Parasitized,16513.5,2.0,0.0,0.0,0.0
Parasitized,13796.0,0.0,0.0,0.0,0.0
Uninfected,12943.5,0.0,0.0,0.0,0.0
Parasitized,9886.5,36.5,0.0,0.0,0.0
Uninfected,10044.5,0.0,0.0,0.0,0.0
Uninfected,11860.0,0.0,0.0,0.0,0.0
Parasitized,19374.5,0.0,0.0,0.0,0.0
Parasitized,9584.0,0.0,0.0,0.0,0.0
Uninfected,10353.5,0.0,0.0,0.0,0.0
Parasitized,10184.0,0.0,0.0,0.0,0.0
Parasitized,20369.0,25.0,0.0,0.0,0.0
Parasitized,11674.0,7.0,0.0,0.0,0.0
Parasitized,10108.5,29.5,0.0,0.0,0.0
Uninfected,9085.0,0.0,0.0,0.0,0.0
Parasitized,8575.0,0.0,0.0,0.0,0.0
Uninfected,11298.5,0.0,0.0,0.0,0.0
Uninfected,11040.5,0.0,0.0,0.0,0.0
Uninfected,16486.0,0.0,0.0,0.0,0.0
Parasitized,10075.0,65.5,0.0,0.0,0.0
Uninfected,13998.0,0.0,0.0,0.0,0.0
Uninfected,14566.0,0.0,0.0,0.0,0.0
Uninfected,15670.5,0.0,0.0,0.0,0.0
Parasitized,13912.5,21.5,0.0,0.0,0.0
Uninfected,12906.5,0.0,0.0,0.0,0.0
Uninfected,14631.0,0.0,0.0,0.0,0.0
Parasitized,8177.0,11.0,0.0,0.0,0.0
Uninfected,11978.0,0.0,0.0,0.0,0.0
Uninfected,14236.0,0.0,0.0,0.0,0.0
Parasitized,11703.0,52.5,0.0,0.0,0.0
Uninfected,7521.5,0.0,0.0,0.0,0.0
Uninfected,11515.5,0.0,0.0,0.0,0.0
Parasitized,8834.5,0.0,0.0,0.0,0.0
Uninfected,12695.0,0.0,0.0,0.0,0.0
Uninfected,12126.0,0.0,0.0,0.0,0.0
Parasitized,13232.0,0.0,0.0,0.0,0.0
Uninfected,5816.5,0.0,0.0,0.0,0.0
Parasitized,12435.5,0.0,0.0,0.0,0.0
Uninfected,12689.0,0.0,0.0,0.0,0.0
Uninfected,14634.0,0.0,0.0,0.0,0.0
Uninfected,14730.0,0.0,0.0,0.0,0.0
Parasitized,10818.5,0.0,0.0,0.0,0.0
Parasitized,14861.0,74.5,0.0,0.0,0.0
Parasitized,14699.5,52.0,0.0,0.0,0.0
Parasitized,14567.5,0.0,0.0,0.0,0.0
Parasitized,14823.5,0.0,0.0,0.0,0.0
Uninfected,13772.5,0.0,0.0,0.0,0.0
Parasitized,18808.5,62.5,0.0,0.0,0.0
Parasitized,148.0,16695.5,68.5,0.0,0.0
Uninfected,12285.5,0.0,0.0,0.0,0.0
Uninfected,14750.5,0.0,0.0,0.0,0.0
Uninfected,13127.0,0.0,0.0,0.0,0.0
Uninfected,12099.0,0.0,0.0,0.0,0.0
Uninfected,12877.0,0.0,0.0,0.0,0.0
Uninfected,15103.0,0.0,0.0,0.0,0.0
Uninfected,15122.0,0.0,0.0,0.0,0.0
Uninfected,8130.5,0.0,0.0,0.0,0.0
Parasitized,14391.0,2.0,0.0,0.0,0.0
Parasitized,11100.5,0.0,0.0,0.0,0.0
Parasitized,12629.5,74.0,0.0,0.0,0.0
Parasitized,12504.5,0.0,0.0,0.0,0.0
Parasitized,13283.5,0.0,0.0,0.0,0.0
Parasitized,15923.5,28.5,0.0,0.0,0.0
Parasitized,16235.0,65.0,0.0,0.0,0.0
Parasitized,15227.5,0.0,0.0,0.0,0.0
Uninfected,15510.0,0.0,0.0,0.0,0.0
Uninfected,12809.0,0.0,0.0,0.0,0.0
Parasitized,11732.0,0.0,0.0,0.0,0.0
Parasitized,11172.0,0.0,0.0,0.0,0.0
Uninfected,10993.0,0.0,0.0,0.0,0.0
Parasitized,15897.0,59.5,0.0,0.0,0.0
Uninfected,13552.5,0.0,0.0,0.0,0.0
Parasitized,11454.5,77.0,0.0,0.0,0.0
Parasitized,13613.5,29.5,0.0,0.0,0.0
Uninfected,8129.0,0.0,0.0,0.0,0.0
Parasitized,8782.0,56.0,0.0,0.0,0.0
Uninfected,20043.5,0.0,0.0,0.0,0.0
Parasitized,12834.0,29.5,0.0,0.0,0.0
Uninfected,15360.5,0.0,0.0,0.0,0.0
Uninfected,10644.0,0.0,0.0,0.0,0.0
Parasitized,11797.0,41.0,0.0,0.0,0.0
Uninfected,15585.5,0.0,0.0,0.0,0.0
Uninfected,10228.0,0.0,0.0,0.0,0.0
Parasitized,17478.0,55.0,0.0,0.0,0.0
Uninfected,7710.5,0.0,0.0,0.0,0.0
Parasitized,14222.5,46.5,0.0,0.0,0.0
Parasitized,5878.5,0.0,0.0,0.0,0.0
Uninfected,11526.0,0.0,0.0,0.0,0.0
Uninfected,11598.0,0.0,0.0,0.0,0.0
Parasitized,11974.0,87.0,0.0,0.0,0.0
Uninfected,12837.5,0.0,0.0,0.0,0.0
Parasitized,12080.5,57.0,0.0,0.0,0.0
Parasitized,13028.5,59.5,0.0,0.0,0.0
Uninfected,14124.5,0.0,0.0,0.0,0.0
Parasitized,13630.0,0.0,0.0,0.0,0.0
Parasitized,9105.5,49.0,27.0,0.0,0.0
Uninfected,14548.5,0.0,0.0,0.0,0.0
Uninfected,10318.5,0.0,0.0,0.0,0.0
Uninfected,13199.0,0.0,0.0,0.0,0.0
Uninfected,12327.0,0.0,0.0,0.0,0.0
Parasitized,13686.5,0.0,0.0,0.0,0.0
Uninfected,11501.5,0.0,0.0,0.0,0.0
Uninfected,10422.5,0.0,0.0,0.0,0.0
Parasitized,9279.0,0.0,0.0,0.0,0.0
Parasitized,13547.0,33.0,31.5,0.0,0.0
Parasitized,9191.5,62.0,0.0,0.0,0.0
Uninfected,19803.0,0.0,0.0,0.0,0.0
Uninfected,11797.0,0.0,0.0,0.0,0.0
Parasitized,10301.5,0.0,0.0,0.0,0.0
Uninfected,11920.5,0.0,0.0,0.0,0.0
Parasitized,13193.0,0.0,0.0,0.0,0.0
Uninfected,13702.0,0.0,0.0,0.0,0.0
Uninfected,14424.5,0.0,0.0,0.0,0.0
Parasitized,11673.5,0.0,0.0,0.0,0.0
Parasitized,12150.0,57.5,0.0,0.0,0.0
Uninfected,16201.5,0.0,0.0,0.0,0.0
Parasitized,13482.0,32.5,0.0,0.0,0.0
Uninfected,12048.0,0.0,0.0,0.0,0.0
Parasitized,12861.5,0.0,0.0,0.0,0.0
Parasitized,6477.0,0.0,0.0,0.0,0.0
Uninfected,14186.5,0.0,0.0,0.0,0.0
Parasitized,10485.0,49.5,0.0,0.0,0.0
Uninfected,11501.0,0.0,0.0,0.0,0.0
Parasitized,13912.5,0.0,0.0,0.0,0.0
Parasitized,11327.5,0.0,0.0,0.0,0.0
Uninfected,16745.0,0.0,0.0,0.0,0.0
Parasitized,11038.0,34.5,0.0,0.0,0.0
Parasitized,10918.0,0.0,0.0,0.0,0.0
Uninfected,14512.5,0.0,0.0,0.0,0.0
Parasitized,12070.0,41.5,0.0,0.0,0.0
Parasitized,12010.5,44.5,0.0,0.0,0.0
Parasitized,11689.5,11.0,0.0,0.0,0.0
Parasitized,10501.0,0.0,0.0,0.0,0.0
Uninfected,10049.5,0.0,0.0,0.0,0.0
Parasitized,12167.5,21.5,0.0,0.0,0.0
Parasitized,8605.5,0.0,0.0,0.0,0.0
Uninfected,11284.5,0.0,0.0,0.0,0.0
Uninfected,12500.5,0.0,0.0,0.0,0.0
Uninfected,13598.5,0.0,0.0,0.0,0.0
Uninfected,14306.5,0.0,0.0,0.0,0.0
Parasitized,12301.5,0.0,0.0,0.0,0.0
Uninfected,10608.0,0.0,0.0,0.0,0.0
Uninfected,16197.0,0.0,0.0,0.0,0.0
Uninfected,18450.0,0.0,0.0,0.0,0.0
Uninfected,11909.0,0.0,0.0,0.0,0.0
Uninfected,13665.5,0.0,0.0,0.0,0.0
Parasitized,8722.0,0.0,0.0,0.0,0.0
Parasitized,8393.5,0.0,0.0,0.0,0.0
Parasitized,13328.0,0.0,0.0,0.0,0.0
Parasitized,9832.0,0.0,0.0,0.0,0.0
Parasitized,15066.0,0.0,0.0,0.0,0.0
Parasitized,17920.5,45.5,0.0,0.0,0.0
Uninfected,11425.5,0.0,0.0,0.0,0.0
Parasitized,12322.0,0.0,0.0,0.0,0.0
Uninfected,11520.0,0.0,0.0,0.0,0.0
Parasitized,18051.0,60.0,52.0,50.5,0.0
Uninfected,8835.5,0.0,0.0,0.0,0.0
Uninfected,13291.0,0.0,0.0,0.0,0.0
Parasitized,12214.5,34.5,0.0,0.0,0.0
Uninfected,11369.5,0.0,0.0,0.0,0.0
Parasitized,15280.5,63.5,0.0,0.0,0.0
Uninfected,12852.5,0.0,0.0,0.0,0.0
Parasitized,9774.0,0.0,0.0,0.0,0.0
Parasitized,12086.5,0.0,0.0,0.0,0.0
Parasitized,11048.0,0.0,0.0,0.0,0.0
Parasitized,8411.5,0.0,0.0,0.0,0.0
Parasitized,18291.0,0.0,0.0,0.0,0.0
Uninfected,11712.5,0.0,0.0,0.0,0.0
Parasitized,15875.5,10.0,0.0,0.0,0.0
Uninfected,12813.5,0.0,0.0,0.0,0.0
Parasitized,5612.0,0.0,0.0,0.0,0.0
Parasitized,12145.5,0.0,0.0,0.0,0.0
Uninfected,7688.5,0.0,0.0,0.0,0.0
Parasitized,8763.0,0.0,0.0,0.0,0.0
Uninfected,11178.5,0.0,0.0,0.0,0.0
Uninfected,11778.0,0.0,0.0,0.0,0.0
Uninfected,16236.5,0.0,0.0,0.0,0.0
Uninfected,14547.5,0.0,0.0,0.0,0.0
Parasitized,17257.0,0.0,0.0,0.0,0.0
Parasitized,11616.0,78.0,0.0,0.0,0.0
Uninfected,13996.5,0.0,0.0,0.0,0.0
Uninfected,11745.0,0.0,0.0,0.0,0.0
Uninfected,17631.0,0.0,0.0,0.0,0.0
Parasitized,10037.5,0.0,0.0,0.0,0.0
Uninfected,13085.0,0.0,0.0,0.0,0.0
Uninfected,12278.5,0.0,0.0,0.0,0.0
Parasitized,14143.0,0.0,0.0,0.0,0.0
Uninfected,10480.5,0.0,0.0,0.0,0.0
Parasitized,14224.0,90.5,0.0,0.0,0.0
Parasitized,17078.0,60.0,0.0,0.0,0.0
Uninfected,18766.5,0.0,0.0,0.0,0.0
Uninfected,8790.5,0.0,0.0,0.0,0.0
Parasitized,11246.0,73.5,0.0,0.0,0.0
Parasitized,15863.0,56.5,0.0,0.0,0.0
Parasitized,15385.5,0.0,0.0,0.0,0.0
Uninfected,15289.0,0.0,0.0,0.0,0.0
Parasitized,9812.0,53.5,0.0,0.0,0.0
Uninfected,10992.0,0.0,0.0,0.0,0.0
Uninfected,11655.0,0.0,0.0,0.0,0.0
Uninfected,13042.0,0.0,0.0,0.0,0.0
Uninfected,13183.5,0.0,0.0,0.0,0.0
Parasitized,11914.5,4.0,0.0,0.0,0.0
Uninfected,8622.0,0.0,0.0,0.0,0.0
Uninfected,14781.0,0.0,0.0,0.0,0.0
Uninfected,15094.0,0.0,0.0,0.0,0.0
Uninfected,13827.5,0.0,0.0,0.0,0.0
Parasitized,12972.0,77.5,0.0,0.0,0.0
Parasitized,10275.0,0.0,0.0,0.0,0.0
Parasitized,17420.0,0.0,0.0,0.0,0.0
Parasitized,14631.5,65.0,0.0,0.0,0.0
Parasitized,25284.5,11.5,0.0,0.0,0.0
Parasitized,9632.0,12.5,0.0,0.0,0.0
Parasitized,15893.0,10.0,0.0,0.0,0.0
Parasitized,13065.0,0.0,0.0,0.0,0.0
Parasitized,11014.0,17.0,0.0,0.0,0.0
Parasitized,10436.0,0.0,0.0,0.0,0.0
Parasitized,5859.0,0.0,0.0,0.0,0.0
Uninfected,15423.5,0.0,0.0,0.0,0.0
Uninfected,10780.5,0.0,0.0,0.0,0.0
Parasitized,10074.0,0.0,0.0,0.0,0.0
Uninfected,15509.5,0.0,0.0,0.0,0.0
Uninfected,10084.5,0.0,0.0,0.0,0.0
Uninfected,10515.5,0.0,0.0,0.0,0.0
Uninfected,14546.5,0.0,0.0,0.0,0.0
Uninfected,17613.5,0.0,0.0,0.0,0.0
Uninfected,9879.0,0.0,0.0,0.0,0.0
Uninfected,18778.0,0.0,0.0,0.0,0.0
Parasitized,11572.0,0.0,0.0,0.0,0.0
Uninfected,12128.0,0.0,0.0,0.0,0.0
Parasitized,13022.0,0.0,0.0,0.0,0.0
Parasitized,15054.5,39.5,0.0,0.0,0.0
Uninfected,11042.0,0.0,0.0,0.0,0.0
Uninfected,10178.5,0.0,0.0,0.0,0.0
Parasitized,378.5,12415.0,0.0,0.0,0.0
Parasitized,10079.0,0.0,0.0,0.0,0.0
Uninfected,12601.0,0.0,0.0,0.0,0.0
Parasitized,13634.0,0.0,0.0,0.0,0.0
Uninfected,14531.0,0.0,0.0,0.0,0.0
Parasitized,7282.0,0.0,0.0,0.0,0.0
Parasitized,13329.5,0.0,0.0,0.0,0.0
Uninfected,11133.5,0.0,0.0,0.0,0.0
Parasitized,11235.0,39.0,0.0,0.0,0.0
Parasitized,13631.0,74.5,0.0,0.0,0.0
Uninfected,12066.5,0.0,0.0,0.0,0.0
Uninfected,12028.5,0.0,0.0,0.0,0.0
Uninfected,16046.5,0.0,0.0,0.0,0.0
Parasitized,15157.5,0.0,0.0,0.0,0.0
Parasitized,11343.5,0.0,0.0,0.0,0.0
Parasitized,14850.5,21.5,0.0,0.0,0.0
Parasitized,10808.0,0.0,0.0,0.0,0.0
Parasitized,12480.5,0.0,0.0,0.0,0.0
Parasitized,8851.0,0.0,0.0,0.0,0.0
Uninfected,12587.0,0.0,0.0,0.0,0.0
Parasitized,8294.5,44.5,0.0,0.0,0.0
Parasitized,12600.0,17.5,4.0,0.0,0.0
Uninfected,11198.0,0.0,0.0,0.0,0.0
Uninfected,13732.5,0.0,0.0,0.0,0.0
Uninfected,14651.5,0.0,0.0,0.0,0.0
Uninfected,10129.0,0.0,0.0,0.0,0.0
Parasitized,12266.0,0.0,0.0,0.0,0.0
Uninfected,13572.0,0.0,0.0,0.0,0.0
Uninfected,13070.5,0.0,0.0,0.0,0.0
Uninfected,11136.5,0.0,0.0,0.0,0.0
Parasitized,13196.0,0.0,0.0,0.0,0.0
Parasitized,12829.0,0.0,0.0,0.0,0.0
Uninfected,13367.5,8.0,82.0,0.0,0.0
Parasitized,12883.0,0.0,0.0,0.0,0.0
Uninfected,6944.0,0.0,0.0,0.0,0.0
Parasitized,13593.5,45.0,0.0,0.0,0.0
Parasitized,16241.0,87.5,0.0,0.0,0.0
Uninfected,11611.0,0.0,0.0,0.0,0.0
Parasitized,13740.0,73.5,0.0,0.0,0.0
Uninfected,12184.0,0.0,0.0,0.0,0.0
Uninfected,12329.5,0.0,0.0,0.0,0.0
Parasitized,10670.0,0.0,0.0,0.0,0.0
Parasitized,13333.5,0.0,0.0,0.0,0.0
Parasitized,11806.5,17.0,0.0,0.0,0.0
Parasitized,9435.5,0.0,0.0,0.0,0.0
Parasitized,11373.0,0.0,0.0,0.0,0.0
Uninfected,12508.5,0.0,0.0,0.0,0.0
Uninfected,7948.0,0.0,0.0,0.0,0.0
Parasitized,11144.5,0.0,0.0,0.0,0.0
Uninfected,16778.0,0.0,0.0,0.0,0.0
Uninfected,12603.0,0.0,0.0,0.0,0.0
Parasitized,26688.5,82.0,0.0,0.0,0.0
Parasitized,11091.5,57.5,0.0,0.0,0.0
Uninfected,11109.5,0.0,0.0,0.0,0.0
Uninfected,10063.0,0.0,0.0,0.0,0.0
Uninfected,7543.5,0.0,0.0,0.0,0.0
Uninfected,14638.5,0.0,0.0,0.0,0.0
Uninfected,17914.5,0.0,0.0,0.0,0.0
Parasitized,16235.0,0.0,0.0,0.0,0.0
Parasitized,12508.5,25.5,0.0,0.0,0.0
Uninfected,11933.5,0.0,0.0,0.0,0.0
Parasitized,15026.5,0.0,0.0,0.0,0.0
Uninfected,10262.0,0.0,0.0,0.0,0.0
Uninfected,14619.0,0.0,0.0,0.0,0.0
Uninfected,11735.0,0.0,0.0,0.0,0.0
Parasitized,15603.0,7.0,13.5,0.0,0.0
Parasitized,129.0,10705.0,0.0,0.0,0.0
Parasitized,11960.5,12.5,0.0,0.0,0.0
Uninfected,13086.0,0.0,0.0,0.0,0.0
